Type,Raw,ROS,RUS,SMOTE-T
WWW,0.9823870000000001,0.99454,0.9923200000000001,0.991632
MAIL,0.8910610000000001,0.903207,0.895206,0.880296
FTP-CONTROL,0.975524,0.977391,0.98087,0.927632
FTP-PASV,0.78866,0.885437,0.701458,0.8747540000000001
ATTACK,,,,
P2P,0.647303,0.717557,0.695238,0.697059
DATABASE,0.652968,0.714597,0.026756,0.621495
FTP-DATA,0.960148,0.9626170000000001,0.800616,0.963031
MULTIMEDIA,,,,
SERVICES,0.9918030000000001,0.945312,0.9877549999999999,0.979253
INTERACTIVE,0.857143,0.857143,0.666667,0.857143
