Type,Raw,ROS,RUS,SMOTE-T
WWW,0.9975280000000001,0.983883,0.9975120000000001,0.9898889999999999
MAIL,0.9957370000000001,0.9961549999999999,0.9966020000000001,0.9949690000000001
FTP-CONTROL,0.9895889999999999,0.998777,0.9957389999999999,0.9983299999999999
FTP-PASV,0.892689,0.974952,0.906911,0.975807
ATTACK,0.818182,0.8542959999999999,0.8357100000000001,0.8983479999999999
P2P,0.805172,0.8568950000000001,0.826241,0.8883409999999999
DATABASE,0.998107,1.0,0.9977290000000001,0.9992770000000001
FTP-DATA,0.977726,0.988193,0.9838319999999999,0.9852
MULTIMEDIA,0.8424440000000001,0.9275479999999999,0.8813559999999999,0.9373879999999999
SERVICES,0.9455370000000001,0.985727,0.946412,0.9889760000000001
INTERACTIVE,0.923077,1.0,0.972973,0.999499
