Type,Raw,ROS,RUS,SMOTE-T
WWW,0.9965729999999999,0.971132,0.9980469999999999,0.982547
MAIL,0.996726,0.9991059999999999,0.9973360000000001,0.9979819999999999
FTP-CONTROL,0.993399,0.9996659999999999,0.996719,0.998663
FTP-PASV,0.851519,0.970391,0.86193,0.9694200000000001
ATTACK,0.979275,0.9960049999999999,0.941341,0.983873
P2P,0.87782,0.9704809999999999,0.770885,0.9615790000000001
DATABASE,1.0,1.0,1.0,0.9998889999999999
FTP-DATA,0.9837020000000001,0.9953780000000001,0.9807959999999999,0.989122
MULTIMEDIA,0.949275,0.864886,0.9629629999999999,0.887959
SERVICES,0.9031790000000001,0.974175,0.9037290000000001,0.980973
INTERACTIVE,0.9375,1.0,0.9642860000000001,0.998999
