Type,Raw,ROS,RUS,SMOTE-T
WWW,0.9984860000000001,0.996972,0.996976,0.997341
MAIL,0.994749,0.9932219999999999,0.99587,0.991975
FTP-CONTROL,0.985808,0.9978889999999999,0.994761,0.9979959999999999
FTP-PASV,0.938042,0.979556,0.9568450000000001,0.9822780000000001
ATTACK,0.7026020000000001,0.747889,0.751394,0.8265030000000001
P2P,0.743631,0.767111,0.8901620000000001,0.82547
DATABASE,0.9962219999999999,1.0,0.995468,0.9986659999999999
FTP-DATA,0.971823,0.9811110000000001,0.9868879999999999,0.981308
MULTIMEDIA,0.757225,1.0,0.8125,0.9926450000000001
SERVICES,0.9920629999999999,0.997556,0.9933270000000001,0.99711
INTERACTIVE,0.909091,1.0,0.9818180000000001,1.0
