Type,Raw,ROS,RUS,SMOTE-T
WWW,0.997756,0.992691,0.9940370000000001,0.98769
MAIL,0.8866040000000001,0.8843799999999999,0.892718,0.8604780000000001
FTP-CONTROL,0.965398,0.972318,0.9757790000000001,0.9757790000000001
FTP-PASV,0.660432,0.984173,0.657554,0.9597120000000001
ATTACK,,,,
P2P,0.525253,0.791246,0.737374,0.79798
DATABASE,0.484746,0.555932,0.013559,0.450847
FTP-DATA,0.9792059999999999,0.973535,0.982987,0.984877
MULTIMEDIA,,,,
SERVICES,1.0,1.0,1.0,0.9752069999999999
INTERACTIVE,0.75,0.75,0.5,0.75
