class,recall,precision,fpr,f1
WWW,0.996972,0.971132,0.029465,0.983883
MAIL,0.993222,0.999106,0.000042,0.996155
FTP-CONTROL,0.997889,0.999666,0.000016,0.998777
FTP-PASV,0.979556,0.970391,0.001428,0.974952
ATTACK,0.747889,0.996005,0.000143,0.854296
P2P,0.767111,0.970481,0.001114,0.856895
DATABASE,1.000000,1.000000,0.000000,1.000000
FTP-DATA,0.981111,0.995378,0.000218,0.988193
MULTIMEDIA,1.000000,0.864886,0.007462,0.927548
SERVICES,0.997556,0.974175,0.001263,0.985727
INTERACTIVE,1.000000,1.000000,0.000000,1.000000
