class,recall,precision,fpr,f1
WWW,0.996976,0.998047,0.012947,0.997512
MAIL,0.995870,0.997336,0.000218,0.996602
FTP-CONTROL,0.994761,0.996719,0.000027,0.995739
FTP-PASV,0.956845,0.861930,0.001099,0.906911
ATTACK,0.751394,0.941341,0.000224,0.835710
P2P,0.890162,0.770885,0.001476,0.826241
DATABASE,0.995468,1.000000,0.000000,0.997729
FTP-DATA,0.986888,0.980796,0.000301,0.983832
MULTIMEDIA,0.812500,0.962963,0.000048,0.881356
SERVICES,0.993327,0.903729,0.000591,0.946412
INTERACTIVE,0.981818,0.964286,0.000011,0.972973
