class,recall,precision,fpr,f1
WWW,0.997341,0.982547,0.017638,0.989889
MAIL,0.991975,0.997982,0.000096,0.994969
FTP-CONTROL,0.997996,0.998663,0.000064,0.998330
FTP-PASV,0.982278,0.969420,0.001480,0.975807
ATTACK,0.826503,0.983873,0.000633,0.898348
P2P,0.825470,0.961579,0.001571,0.888341
DATABASE,0.998666,0.999889,0.000005,0.999277
FTP-DATA,0.981308,0.989122,0.000517,0.985200
MULTIMEDIA,0.992645,0.887959,0.005986,0.937388
SERVICES,0.997110,0.980973,0.000927,0.988976
INTERACTIVE,1.000000,0.998999,0.000048,0.999499
