class,recall,precision,fpr,f1
WWW,0.996233,0.996397,0.023911,0.996315
MAIL,0.994119,0.996002,0.000327,0.995060
FTP-CONTROL,0.985593,0.991436,0.000069,0.988506
FTP-PASV,0.852679,0.861654,0.000982,0.857143
ATTACK,0.709030,0.712206,0.001368,0.710615
P2P,0.784145,0.759482,0.001385,0.771617
DATABASE,0.995468,0.985789,0.000101,0.990605
FTP-DATA,0.969289,0.978405,0.000334,0.973826
MULTIMEDIA,0.756944,0.915966,0.000106,0.828897
SERVICES,0.990467,0.894148,0.000655,0.939846
INTERACTIVE,0.854545,0.870370,0.000037,0.862385
