class,recall,precision,fpr,f1
WWW,0.977110,0.971938,0.187240,0.974517
MAIL,0.949594,0.915188,0.007204,0.932074
FTP-CONTROL,0.650295,0.929775,0.000401,0.765318
FTP-PASV,0.015625,0.020731,0.005293,0.017819
ATTACK,0.686734,0.287850,0.008112,0.405663
P2P,0.002865,0.010909,0.001449,0.004539
DATABASE,0.026435,0.301724,0.000432,0.048611
FTP-DATA,0.577985,0.858094,0.001490,0.690722
MULTIMEDIA,0.000000,nan,0.000000,nan
SERVICES,0.887512,0.386789,0.007863,0.538773
INTERACTIVE,0.145455,0.166667,0.000212,0.155340
