class,recall,precision,fpr,f1
WWW,0.996507,0.990547,0.063114,0.993518
MAIL,0.976897,0.973693,0.002161,0.975293
FTP-CONTROL,0.881467,0.889623,0.000892,0.885526
FTP-PASV,0.490327,0.724972,0.001334,0.584998
ATTACK,0.682274,0.979200,0.000069,0.804205
P2P,0.489016,0.664073,0.001380,0.563256
DATABASE,0.938822,0.958365,0.000288,0.948493
FTP-DATA,0.947895,0.952497,0.000737,0.950190
MULTIMEDIA,0.666667,0.777328,0.000292,0.717757
SERVICES,0.982841,0.894965,0.000645,0.936847
INTERACTIVE,0.000000,0.000000,0.000005,nan
