class,recall,precision,fpr,f1
WWW,0.998486,0.996573,0.022792,0.997528
MAIL,0.994749,0.996726,0.000267,0.995737
FTP-CONTROL,0.985808,0.993399,0.000053,0.989589
FTP-PASV,0.938042,0.851519,0.001174,0.892689
ATTACK,0.702602,0.979275,0.000071,0.818182
P2P,0.743631,0.877820,0.000577,0.805172
DATABASE,0.996222,1.000000,0.000000,0.998107
FTP-DATA,0.971823,0.983702,0.000251,0.977726
MULTIMEDIA,0.757225,0.949275,0.000062,0.842444
SERVICES,0.992063,0.903179,0.000595,0.945537
INTERACTIVE,0.909091,0.937500,0.000018,0.923077
