class,recall,precision,fpr,f1
WWW,0.994648,0.983597,0.110086,0.989092
MAIL,0.930972,0.970303,0.002333,0.950230
FTP-CONTROL,0.169614,0.293984,0.003322,0.215116
FTP-PASV,0.514881,0.771460,0.001094,0.617581
ATTACK,0.684504,0.974603,0.000085,0.804191
P2P,0.124164,0.332481,0.001390,0.180807
DATABASE,0.861782,0.384953,0.009726,0.532183
FTP-DATA,0.685990,0.881988,0.001431,0.771739
MULTIMEDIA,0.607639,0.951087,0.000048,0.741525
SERVICES,0.863680,0.936918,0.000325,0.898810
INTERACTIVE,0.000000,0.000000,0.000005,nan
