class,recall,precision,fpr,f1
WWW,0.998939,0.972448,0.187846,0.985515
MAIL,0.947004,0.974849,0.002000,0.960724
FTP-CONTROL,0.711853,1.000000,0.000000,0.831676
FTP-PASV,0.252976,0.876289,0.000256,0.392610
ATTACK,0.675585,0.964968,0.000117,0.794754
P2P,0.348615,0.848837,0.000346,0.494245
DATABASE,0.906344,1.000000,0.000000,0.950872
FTP-DATA,0.444790,0.961940,0.000274,0.608306
MULTIMEDIA,0.482639,0.958621,0.000032,0.642032
SERVICES,0.976168,0.888118,0.000687,0.930064
INTERACTIVE,0.018182,1.000000,0.000000,0.035714
