class,recall,precision,fpr,f1
WWW,0.998391,0.996459,0.023547,0.997424
MAIL,0.995519,0.996636,0.000275,0.996077
FTP-CONTROL,0.990177,0.998020,0.000016,0.994083
FTP-PASV,0.879464,0.864667,0.000987,0.872003
ATTACK,0.698997,0.912664,0.000319,0.791667
P2P,0.782235,0.892157,0.000527,0.833588
DATABASE,0.993958,1.000000,0.000000,0.996970
FTP-DATA,0.974465,0.980556,0.000301,0.977501
MULTIMEDIA,0.784722,0.937759,0.000080,0.854442
SERVICES,0.990467,0.905052,0.000581,0.945835
INTERACTIVE,0.927273,0.894737,0.000032,0.910714
