class,recall,precision,fpr,f1
WWW,0.998415,0.995049,0.032973,0.996729
MAIL,0.994959,0.994890,0.000418,0.994925
FTP-CONTROL,0.981009,0.996011,0.000032,0.988453
FTP-PASV,0.909970,0.854647,0.001110,0.881441
ATTACK,0.684504,0.996753,0.000011,0.811633
P2P,0.524355,0.845917,0.000533,0.647406
DATABASE,0.994713,0.993962,0.000043,0.994337
FTP-DATA,0.972740,0.966073,0.000533,0.969395
MULTIMEDIA,0.805556,0.950820,0.000064,0.872180
SERVICES,0.979028,0.902460,0.000591,0.939186
INTERACTIVE,0.836364,0.901961,0.000026,0.867925
